PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
55,0,1,580,1,43,0,2,113,26.0,141,2
57,0,1,121,1,51,0,0,147,13.0,147,2
58,0,1,68,1,62,0,0,622,12.525,147,2
59,1,0,643,0,21,1,0,36,66.6,61,2
60,0,2,532,1,67,0,0,516,8.05,147,2
61,0,2,889,1,49,0,2,538,14.5,147,2
62,0,2,612,1,31,0,0,573,7.3125,147,2
63,0,0,866,1,62,0,1,595,61.3792,147,0
64,1,2,287,0,13,0,0,418,7.7333,147,1
65,0,2,181,1,33,0,0,654,8.05,147,2
66,0,2,767,1,31,0,0,258,8.6625,147,2
68,0,2,716,1,31,6,2,568,69.55,147,2
69,0,2,186,1,53,0,1,470,16.1,147,2
70,1,1,847,0,48,0,0,559,15.75,147,2
71,0,2,82,1,27,0,0,323,7.775,147,2
72,0,2,129,1,14,0,0,265,8.6625,147,2
73,0,2,628,1,5,4,1,249,39.6875,147,2
74,1,2,293,1,87,0,2,423,20.525,147,2
75,1,0,157,0,88,0,1,28,55.0,123,2
76,0,2,760,0,54,1,4,337,27.9,147,2
77,0,0,69,1,88,0,0,576,25.925,147,2
79,0,2,486,1,29,0,0,80,56.4958,147,2
80,0,0,832,1,74,0,0,5,33.5,18,2
81,0,2,680,1,47,4,1,480,29.125,147,1
82,1,2,408,0,5,1,1,344,11.1333,147,2
83,0,2,752,1,20,0,0,659,7.925,147,2
84,0,0,769,1,68,0,0,90,30.6958,14,0
85,0,2,444,1,15,1,1,412,7.8542,147,2
86,0,2,464,1,31,3,1,488,25.4667,147,2
87,0,0,388,0,61,0,0,593,28.7125,69,0
88,0,1,320,1,33,0,0,169,13.0,147,2
90,0,2,474,1,42,0,0,574,0.0,147,2
91,0,2,717,0,31,6,2,568,69.55,147,2
92,0,1,650,1,44,0,0,629,15.05,147,0
93,0,2,41,1,87,4,2,329,31.3875,147,2
94,1,1,76,1,5,2,1,114,39.0,144,2
95,1,2,441,0,47,0,2,271,22.025,147,2
96,0,0,700,1,88,0,0,34,50.0,9,2
97,1,2,601,0,31,1,0,459,15.5,147,1
98,1,0,698,1,54,0,0,11,26.55,147,2
99,0,2,101,1,48,1,1,435,15.5,147,1
101,0,2,823,1,42,0,0,386,7.8958,147,2
102,1,1,664,0,36,0,0,122,13.0,147,2
103,0,1,136,1,16,0,0,227,13.0,147,2
104,1,2,20,0,16,1,0,406,7.8542,147,2
105,1,1,579,1,32,1,1,113,26.0,141,2
106,1,0,113,0,53,0,0,604,27.7208,28,0
107,1,0,495,0,70,0,0,586,146.5208,43,0
108,0,2,533,1,31,0,0,452,7.75,147,1
109,0,2,611,1,51,0,1,494,8.4042,147,2
110,1,2,497,0,31,0,0,461,7.75,147,1
113,0,1,881,0,24,0,0,160,13.0,147,2
114,0,2,834,1,29,0,0,306,9.5,147,2
115,0,2,721,1,31,6,2,568,69.55,147,2
116,0,2,403,1,39,0,0,242,6.4958,147,2
117,0,2,878,1,55,0,0,177,7.225,147,0
118,1,2,166,1,15,0,0,530,8.05,147,2
119,0,2,789,0,17,0,1,316,10.4625,145,2
120,0,2,51,1,36,1,0,247,15.85,147,2
121,1,2,9,1,27,0,0,216,18.7875,147,0
122,1,2,140,0,13,0,0,445,7.75,147,1
124,1,0,94,1,48,0,0,17,31.0,8,0
125,0,2,12,1,24,0,0,642,7.05,147,2
126,1,1,131,0,41,0,0,570,21.0,147,2
127,0,2,649,1,21,0,0,526,7.25,147,2
128,0,1,288,1,33,0,0,163,13.0,147,2
129,0,2,437,1,31,1,0,443,7.75,147,1
130,1,0,582,0,35,1,0,416,113.275,103,0
131,1,2,375,0,28,0,0,670,7.925,147,2
132,0,1,390,1,51,1,0,142,27.0,147,2
133,1,0,72,0,36,0,0,63,76.2917,93,0
135,0,1,338,1,33,0,0,679,10.5,147,2
136,1,2,791,1,13,0,0,653,8.05,147,2
137,0,1,105,1,28,0,0,105,13.0,147,2
138,0,2,306,1,62,0,0,102,8.05,147,2
139,0,2,581,1,31,0,0,375,7.8958,147,2
140,1,0,379,1,45,1,0,93,90.0,87,2
141,0,2,83,1,21,0,0,615,9.35,147,2
142,1,1,531,1,16,0,0,672,10.5,147,2
143,0,2,492,1,19,0,0,525,7.25,147,2
144,0,1,243,1,15,0,0,125,13.0,147,2
146,0,2,467,0,31,3,1,488,25.4667,147,2
147,1,0,339,0,41,1,0,457,83.475,80,2
148,0,2,460,1,31,0,0,322,7.775,147,2
149,0,1,754,1,71,0,0,128,13.5,147,2
150,1,2,43,0,60,4,2,329,31.3875,147,2
151,0,1,479,1,24,0,0,554,10.5,147,2
152,0,2,329,0,31,0,0,677,7.55,147,2
153,0,1,370,1,53,1,0,198,26.0,147,2
154,1,1,172,0,85,0,2,556,26.25,147,2
155,0,1,648,1,16,0,0,231,10.5,147,2
157,0,1,383,1,38,0,0,636,12.275,147,2
158,0,2,883,0,31,1,0,193,14.4542,147,0
159,1,2,567,0,31,1,0,444,15.5,147,1
160,0,1,169,1,31,0,0,674,10.5,147,2
161,0,2,500,1,21,0,0,658,7.125,147,2
162,0,2,47,1,33,0,0,213,7.225,147,0
163,0,0,539,1,53,2,0,92,90.0,78,1
164,0,2,481,0,26,0,0,325,7.775,147,2
165,1,1,322,0,24,0,2,166,14.5,147,2
166,1,0,78,1,44,1,1,54,52.5542,102,2
168,0,1,147,1,65,1,0,144,26.0,147,2
169,0,2,673,1,31,0,0,422,7.25,147,2
170,0,2,790,0,31,1,1,316,10.4625,145,2
171,0,0,782,1,75,0,0,31,26.55,83,2
172,0,2,487,1,33,1,0,536,16.1,147,2
173,0,2,702,0,50,0,2,458,20.2125,147,2
174,1,2,819,0,31,0,2,185,15.2458,147,0
175,1,0,808,0,88,0,0,589,79.2,147,0
176,1,0,156,0,33,0,0,0,86.5,40,2
177,1,0,844,0,41,0,0,608,512.3292,147,0
179,1,1,636,0,61,0,1,115,26.0,147,2
180,0,2,771,1,31,0,0,482,7.75,147,1
181,1,2,42,1,32,4,2,329,31.3875,147,2
182,0,0,799,1,63,1,1,1,79.65,134,2
183,0,0,340,1,48,0,0,16,0.0,46,2
184,0,2,356,0,31,0,0,478,7.75,147,1
185,0,1,674,1,42,0,0,546,10.5,147,2
186,0,2,631,1,13,4,1,249,39.6875,147,2
187,1,2,652,1,26,1,0,334,7.775,147,2
188,1,0,305,0,70,0,1,588,153.4625,57,2
190,1,0,91,0,41,0,0,613,135.6333,89,2
191,0,0,125,1,88,0,0,47,31.0,147,2
192,1,2,817,1,26,0,0,574,0.0,147,2
193,1,1,530,0,50,0,1,162,19.5,147,2
194,0,0,577,1,44,0,1,594,29.7,54,0
195,1,2,350,0,31,0,0,465,7.75,147,1
196,1,0,33,0,76,1,0,71,77.9583,113,2
197,0,2,482,0,54,0,0,326,7.75,147,2
198,0,1,634,1,44,0,0,135,0.0,147,2
199,0,2,681,1,80,4,1,480,29.125,147,1
201,1,2,2,0,41,1,1,551,20.25,147,2
202,0,2,227,1,78,0,0,290,7.75,147,1
203,0,2,614,1,29,0,0,340,7.8542,147,2
204,0,2,887,1,13,0,0,310,9.5,147,2
205,1,2,221,1,16,0,0,533,8.05,147,2
206,0,0,770,1,88,0,0,24,26.0,3,2
207,0,2,779,1,38,0,0,378,8.6625,147,0
208,1,2,886,1,33,0,0,308,9.5,147,2
209,0,2,570,1,21,0,0,353,7.8958,147,2
210,1,1,378,1,51,0,0,134,13.0,147,2
212,1,2,177,0,21,0,0,464,7.75,147,1
213,1,0,65,0,27,0,0,91,78.85,147,2
214,1,0,90,0,16,1,0,64,91.0792,31,0
215,0,1,477,1,42,0,0,635,12.875,90,0
216,0,2,315,0,24,0,0,376,8.85,147,2
217,0,2,541,1,24,0,0,374,7.8958,147,2
218,0,0,478,1,88,0,0,606,27.7208,147,0
219,0,2,324,1,23,0,0,212,7.2292,147,0
220,0,0,17,0,17,1,2,37,151.55,62,2
221,1,0,714,1,88,0,0,98,30.5,51,2
224,1,0,71,0,61,0,1,585,247.5208,36,0
225,1,2,431,0,31,0,0,513,7.75,147,1
226,1,2,518,1,31,2,0,441,23.25,147,1
227,0,2,411,1,16,0,0,574,0.0,147,2
228,1,1,428,0,44,0,0,109,12.35,116,1
229,0,2,868,1,31,0,0,527,8.05,147,2
230,1,0,16,1,4,1,2,37,151.55,62,2
231,1,0,248,0,88,0,0,83,110.8833,147,0
232,1,0,647,0,14,1,0,611,108.9,74,0
233,0,1,3,1,33,1,0,575,24.0,147,0
235,1,0,263,0,33,0,0,584,56.9292,125,0
236,1,0,348,0,24,0,0,59,83.1583,72,0
237,1,0,710,0,15,2,2,602,262.375,35,0
238,0,1,449,0,27,1,1,167,26.0,147,2
239,0,2,355,1,29,0,0,382,7.8958,147,2
240,0,1,342,1,52,1,1,571,26.25,147,2
241,1,2,590,0,27,0,0,343,7.8542,147,2
242,1,1,423,0,24,1,0,150,26.0,147,2
243,0,1,555,1,65,0,0,232,14.0,147,2
244,1,0,859,0,35,0,2,453,164.8667,76,2
246,1,0,775,0,48,1,1,81,134.5,124,0
247,0,2,211,1,21,0,0,524,7.25,147,2
248,0,2,200,1,28,0,0,365,7.8958,147,2
249,1,1,762,0,33,0,0,124,12.35,147,1
250,1,1,128,0,21,1,1,158,29.0,147,2
251,0,2,722,1,31,6,2,568,69.55,147,2
252,1,0,877,0,42,0,0,613,135.6333,65,0
253,0,2,598,1,74,0,0,299,6.2375,147,2
254,1,1,60,0,42,0,0,229,13.0,90,2
255,1,2,295,0,35,1,1,423,20.525,147,2
257,1,0,363,0,13,0,1,7,57.9792,17,0
258,1,2,517,0,31,2,0,441,23.25,147,1
259,0,0,637,1,55,0,0,20,28.5,56,2
260,0,0,304,1,45,0,1,588,153.4625,85,2
261,0,2,838,1,13,2,0,302,18.0,147,2
262,1,0,265,0,88,1,0,605,133.65,147,2
263,0,2,210,1,31,0,0,370,7.8958,147,2
264,0,0,642,1,31,1,0,36,66.6,61,2
265,1,0,117,0,50,0,0,81,134.5,127,0
266,1,2,192,1,54,0,0,510,8.05,147,2
268,0,0,93,1,54,0,0,39,35.5,146,2
269,1,1,578,1,17,1,1,113,26.0,141,2
270,1,0,258,0,24,3,2,95,263.0,63,2
271,0,1,170,1,29,0,0,159,13.0,147,2
272,0,1,733,1,26,0,0,149,13.0,147,2
273,0,1,262,1,42,0,0,112,13.0,147,2
274,1,1,111,0,24,0,0,157,13.0,142,2
275,1,1,768,0,48,0,0,257,13.0,147,2
276,1,2,207,0,31,1,0,483,16.1,147,2
277,1,2,183,1,32,1,1,562,15.9,147,2
279,0,2,215,1,51,0,0,262,8.6625,147,2
280,0,2,608,1,22,0,0,503,9.225,147,2
281,0,0,870,1,88,0,0,30,35.0,59,2
282,0,2,237,1,12,1,1,214,7.2292,147,0
283,0,2,37,1,26,1,0,377,17.8,147,2
284,0,2,879,1,31,0,0,182,7.225,147,0
285,0,2,835,1,29,0,0,314,9.5,147,2
286,1,0,104,0,21,0,1,28,55.0,123,2
287,0,1,270,0,45,0,0,131,13.0,147,2
288,1,2,522,0,31,0,0,279,7.8792,147,1
290,1,2,545,0,31,0,0,285,7.8792,147,1
291,0,2,759,1,48,1,4,337,27.9,147,2
292,0,1,888,1,31,1,0,633,27.7208,147,0
293,0,2,64,0,54,0,1,211,14.4542,147,0
294,0,2,40,1,41,0,0,641,7.05,147,2
295,0,2,599,1,31,1,0,459,15.5,147,1
296,0,2,5,1,33,0,0,544,7.25,147,2
297,1,0,845,0,73,1,0,4,75.25,104,0
298,1,2,562,0,31,0,0,175,7.2292,147,0
299,1,2,400,0,31,0,0,78,7.75,147,1
301,1,0,48,0,24,0,0,581,69.3,24,0
302,1,0,328,1,26,1,0,58,55.4417,131,0
303,0,2,863,1,15,1,0,244,6.4958,147,2
304,0,2,75,1,16,0,0,273,8.05,147,2
305,0,0,690,1,21,0,0,613,135.6333,147,0
306,0,2,625,0,32,3,1,395,21.075,147,2
307,1,0,536,0,88,1,0,600,82.1708,147,0
308,1,2,454,0,21,0,0,545,7.25,147,2
309,0,0,862,1,28,0,2,27,211.5,79,0
310,0,2,85,1,18,0,0,183,4.0125,147,0
312,0,2,314,1,16,0,0,324,7.775,147,2
313,1,0,86,0,51,0,0,610,227.525,147,0
314,1,2,572,0,5,0,2,187,15.7417,147,0
315,0,2,811,1,36,0,0,665,7.925,147,2
316,1,0,373,0,41,1,0,43,52.0,147,2
317,0,2,665,1,31,0,0,371,7.8958,147,2
318,0,1,205,1,15,0,0,621,73.5,147,2
319,0,2,298,1,5,5,2,566,46.9,147,2
320,1,1,118,0,42,0,0,220,13.0,147,2
321,0,2,715,1,31,0,0,447,7.7292,147,1
323,1,1,468,0,14,0,0,625,12.0,147,0
324,1,0,144,1,42,1,2,33,120.0,47,2
325,1,2,393,1,20,0,0,401,7.7958,147,2
326,0,2,313,1,29,2,0,246,7.925,147,2
327,1,0,583,0,22,1,0,416,113.275,103,0
328,1,2,728,0,24,0,2,616,16.7,145,2
329,0,2,404,1,21,0,0,410,7.7958,147,2
330,0,2,613,0,35,0,0,414,7.8542,147,2
331,0,1,524,1,56,0,0,226,26.0,147,2
332,0,1,623,1,22,0,0,146,10.5,147,2
335,1,1,821,0,29,0,0,140,12.65,147,2
336,1,2,592,1,46,0,0,663,7.925,147,2
337,0,2,6,1,27,0,0,292,8.05,147,2
338,0,2,418,0,20,1,0,492,9.825,147,2
339,0,2,318,1,29,1,0,668,15.85,147,2
340,0,2,616,0,18,0,0,267,8.6625,147,2
341,0,1,274,1,39,1,0,230,21.0,147,2
342,0,2,861,1,62,0,0,321,7.75,147,2
343,1,1,687,1,32,1,1,237,18.75,147,2
344,0,2,88,1,20,0,0,255,7.775,147,2
346,0,2,465,0,31,3,1,488,25.4667,147,2
347,0,2,732,1,31,0,0,367,7.8958,147,2
348,0,2,343,1,31,0,0,487,6.8583,147,1
349,1,0,540,0,38,1,0,92,90.0,78,1
350,0,1,191,1,44,0,0,135,0.0,147,2
351,1,2,792,1,53,0,0,655,7.925,147,2
352,0,2,528,0,31,0,0,295,8.05,147,2
353,1,1,226,0,39,1,1,224,32.5,147,2
354,1,1,742,0,15,0,2,168,13.0,147,2
355,0,1,513,1,33,0,0,225,13.0,147,2
357,0,2,829,0,6,0,2,307,24.15,147,2
358,0,2,281,1,31,0,0,392,7.8958,147,0
359,0,2,155,1,20,0,0,534,7.7333,147,1
360,0,2,884,1,31,0,0,259,7.875,147,2
361,0,2,198,0,29,1,1,331,14.4,147,2
362,0,2,701,1,15,1,1,458,20.2125,147,2
363,0,2,872,1,31,0,0,521,7.25,147,2
364,1,1,162,0,29,1,0,100,26.0,147,2
365,1,1,662,0,16,0,0,170,26.0,147,2
366,0,2,249,1,31,0,0,437,7.75,147,1
368,1,2,663,1,36,0,0,644,8.05,115,2
369,1,0,92,1,29,0,0,3,26.55,71,2
370,1,2,810,0,31,1,0,476,16.1,147,2
371,1,1,491,0,51,1,0,627,26.0,147,2
372,0,2,420,1,14,0,0,657,7.125,147,2
373,0,0,744,1,61,1,0,72,55.9,128,2
374,1,0,143,0,10,1,2,33,120.0,47,2
375,0,2,253,0,20,2,2,676,34.375,147,2
376,1,1,688,0,24,2,3,237,18.75,147,2
377,0,0,261,1,77,1,4,95,263.0,63,2
379,0,1,447,1,35,0,0,547,10.5,147,2
380,1,1,344,0,54,1,1,571,26.25,147,2
381,0,2,323,1,18,0,0,305,9.5,147,2
382,0,2,659,1,26,1,0,328,7.775,147,2
383,1,1,679,0,29,0,0,116,13.0,147,2
384,1,2,402,1,31,0,0,499,8.1125,147,2
385,1,0,216,1,47,0,2,289,81.8583,10,2
386,1,1,529,0,9,0,1,162,19.5,147,2
387,1,0,735,1,39,0,0,45,26.55,147,2
388,1,2,55,0,60,2,1,194,19.2583,147,0
390,1,0,661,1,63,0,0,40,30.5,50,2
391,0,1,854,1,42,1,2,561,27.75,147,2
392,0,2,316,1,31,1,0,497,19.9667,147,2
393,0,0,257,1,33,0,0,22,27.75,53,0
394,1,0,290,1,59,1,0,84,89.1042,86,0
395,0,2,644,1,31,0,0,528,8.05,147,2
396,1,2,392,1,31,0,0,379,7.8958,147,0
397,0,0,537,1,78,0,0,73,26.55,126,2
398,1,0,436,0,88,1,0,86,51.8625,97,2
399,1,1,815,0,61,0,0,572,10.5,147,2
401,0,2,603,1,31,0,0,468,7.75,147,1
402,1,0,21,1,58,0,0,96,26.55,117,2
403,0,2,557,1,39,0,0,429,8.05,147,2
404,0,0,280,1,57,0,0,6,38.5,133,2
405,0,1,538,1,58,0,0,121,13.0,147,2
406,0,2,502,1,31,0,0,539,8.05,147,2
407,0,2,296,1,45,0,0,639,7.05,147,2
408,0,1,132,1,44,0,0,135,0.0,147,2
409,0,0,766,1,68,0,0,44,26.55,147,2
410,0,2,731,1,31,0,0,421,7.725,147,1
412,1,2,54,0,2,2,1,194,19.2583,147,0
413,0,2,430,1,31,0,0,272,7.25,147,2
414,0,2,124,1,45,0,0,263,8.6625,147,2
415,1,1,855,0,38,1,2,561,27.75,147,2
416,1,1,401,0,22,0,0,628,13.7917,90,0
417,0,2,787,0,21,0,0,509,9.8375,147,2
418,0,0,164,1,88,0,0,2,52.0,1,2
419,0,1,676,1,39,1,0,252,21.0,147,2
420,0,2,107,1,31,1,0,315,7.0458,147,2
421,0,2,425,1,21,0,0,411,7.5208,147,2
423,1,2,365,0,17,0,1,251,12.2875,147,2
424,0,2,297,1,87,5,2,566,46.9,147,2
425,0,1,268,1,44,0,0,136,0.0,147,2
426,0,2,706,1,61,0,0,531,8.05,147,2
427,1,2,825,0,76,0,0,489,9.5875,147,2
428,1,0,89,1,26,1,0,64,91.0792,31,0
429,0,2,466,0,31,3,1,488,25.4667,147,2
430,1,0,381,0,41,1,0,93,90.0,87,2
431,0,0,435,1,70,0,0,61,29.7,25,0
432,0,2,774,1,33,0,0,517,8.05,147,2
434,1,2,182,1,87,1,1,562,15.9,147,2
435,0,2,317,1,31,1,0,498,19.9667,147,2
436,0,2,871,1,20,0,0,649,7.25,147,2
437,0,0,547,1,66,0,0,41,30.5,64,2
438,0,0,39,1,83,0,0,603,49.5042,147,0
439,0,2,781,1,20,0,0,518,8.05,147,2
440,0,2,880,1,31,0,0,176,14.4583,147,0
441,1,0,242,0,65,1,0,454,78.2667,96,0
442,0,2,738,1,31,0,0,564,15.1,147,2
443,0,0,18,0,26,1,2,37,151.55,62,2
446,0,2,796,1,24,0,0,402,7.7958,147,2
447,0,2,130,1,14,0,0,261,8.6625,147,2
448,0,2,133,0,20,0,0,433,7.75,147,1
449,0,2,607,0,31,0,0,276,7.6292,147,1
450,0,2,450,0,44,0,0,490,9.5875,147,2
451,1,0,501,0,13,0,0,0,86.5,42,2
452,0,0,646,1,15,1,0,611,108.9,74,0
453,1,1,670,0,38,0,2,180,26.0,147,2
454,1,0,106,1,88,0,0,10,26.55,147,2
455,0,2,610,1,29,0,0,542,22.525,147,2
457,1,2,455,1,27,0,0,80,56.4958,147,2
458,1,2,195,1,31,0,0,479,7.75,147,1
459,0,2,849,1,31,0,0,648,8.05,147,2
460,1,0,521,1,42,0,0,577,26.2875,121,2
461,1,0,705,0,65,1,0,599,59.4,147,0
462,0,2,168,1,24,0,0,356,7.4958,147,2
463,0,0,843,1,57,0,0,456,34.0208,106,2
464,1,1,472,0,39,0,0,560,10.5,142,2
465,0,2,709,1,31,0,0,469,24.15,147,1
466,1,1,35,0,42,1,0,110,26.0,147,2
468,0,2,641,1,36,0,0,381,7.8958,147,2
469,1,0,651,0,33,0,0,67,93.5,39,2
470,0,2,841,1,21,0,0,390,7.8958,147,2
471,0,2,448,1,31,0,0,173,7.225,147,0
472,1,0,364,0,53,0,1,7,57.9792,17,0
473,0,2,427,1,31,0,0,217,7.2292,147,0
474,0,2,244,1,49,0,0,446,7.75,147,1
475,1,1,689,0,61,0,0,673,10.5,147,2
